year,value
2005,0.0048
2007,0.0048
2008,0.0044
2009,0.0056
2010,0.0056
2011,0.0058
2012,0.0053
2013,0.006
2014,0.0074
2015,0.0054
2016,0.0048
2017,0.0066
2018,0.005
2019,0.0054
2020,0.00521
2021,0.00539
