year,value
1952.5,0.039776
1957.5,0.042731
1962.5,0.04062
1967.5,0.037357
1972.5,0.035531
1977.5,0.032791
1982.5,0.031293
1987.5,0.029655
1992.5,0.026611
1997.5,0.019188
2002.5,0.016833
2007.5,0.017184
2012.5,0.017283
2017.5,0.016945
